Team 1,Team 2,Venue
Australia,Afghanistan,"Alokozay Kabul International Cricket Ground, Afghanistan"
Australia,Afghanistan,"Old Trafford, England"
Australia,Afghanistan,"Eden Park, New Zealand"
Australia,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
Australia,Afghanistan,"Hagley Oval, New Zealand"
Australia,Afghanistan,"Galle International Stadium, Sri Lanka"
Australia,Afghanistan,"Old Trafford, England"
Australia,Afghanistan,"Galle International Stadium, Sri Lanka"
Australia,Afghanistan,"Kabul International Cricket Stadium, Afghanistan"
India,England,"Galle International Stadium, Sri Lanka"
India,England,"Newlands, South Africa"
India,England,"Lord's, England"
India,England,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
India,England,"R. Premadasa Stadium, Sri Lanka"
India,England,"Lord's, England"
India,England,"Wanderers Stadium, South Africa"
India,England,"Galle International Stadium, Sri Lanka"
India,England,"Newlands, South Africa"
India,England,"Wankhede Stadium, India"
India,South Africa,"Old Trafford, England"
India,South Africa,"Sher-e-Bangla National Stadium, Bangladesh"
India,South Africa,"Alokozay Kabul International Cricket Ground, Afghanistan"
India,South Africa,"Kabul International Cricket Stadium, Afghanistan"
India,South Africa,"Kensington Oval, Barbados, West Indies"
India,South Africa,"Gaddafi Stadium, Pakistan"
India,South Africa,"Lord's, England"
India,South Africa,"Queen's Park Oval, Trinidad, West Indies"
India,South Africa,"Newlands, South Africa"
India,South Africa,"Kabul International Cricket Stadium, Afghanistan"
India,New Zealand,"Sher-e-Bangla National Stadium, Bangladesh"
India,New Zealand,"Sydney Cricket Ground, Australia"
India,New Zealand,"Sher-e-Bangla National Stadium, Bangladesh"
India,New Zealand,"Wankhede Stadium, India"
India,New Zealand,"Eden Gardens, India"
India,New Zealand,"Gaddafi Stadium, Pakistan"
India,New Zealand,"R. Premadasa Stadium, Sri Lanka"
India,New Zealand,"Sydney Cricket Ground, Australia"
India,New Zealand,"Wanderers Stadium, South Africa"
India,New Zealand,"Wanderers Stadium, South Africa"
India,Pakistan,"Lord's, England"
India,Pakistan,"Wanderers Stadium, South Africa"
India,Pakistan,"Sydney Cricket Ground, Australia"
India,Pakistan,"Lord's, England"
India,Pakistan,"Gaddafi Stadium, Pakistan"
India,Pakistan,"Sher-e-Bangla National Stadium, Bangladesh"
India,Pakistan,"Wanderers Stadium, South Africa"
India,Pakistan,"R. Premadasa Stadium, Sri Lanka"
India,Pakistan,"Sher-e-Bangla National Stadium, Bangladesh"
India,Pakistan,"R. Premadasa Stadium, Sri Lanka"
India,Sri Lanka,"Sher-e-Bangla National Stadium, Bangladesh"
India,Sri Lanka,"Newlands, South Africa"
India,Sri Lanka,"Sher-e-Bangla National Stadium, Bangladesh"
India,Sri Lanka,"Kabul International Cricket Stadium, Afghanistan"
India,Sri Lanka,"R. Premadasa Stadium, Sri Lanka"
India,Sri Lanka,"Lord's, England"
India,Sri Lanka,"Wanderers Stadium, South Africa"
India,Sri Lanka,"Alokozay Kabul International Cricket Ground, Afghanistan"
India,Sri Lanka,"National Stadium, Karachi, Pakistan"
India,Sri Lanka,"National Stadium, Karachi, Pakistan"
India,West Indies,"Lord's, England"
India,West Indies,"Sydney Cricket Ground, Australia"
India,West Indies,"Kabul International Cricket Stadium, Afghanistan"
India,West Indies,"Hagley Oval, New Zealand"
India,West Indies,"Hagley Oval, New Zealand"
India,West Indies,"Galle International Stadium, Sri Lanka"
India,West Indies,"Wankhede Stadium, India"
India,West Indies,"Queen's Park Oval, Trinidad, West Indies"
India,West Indies,"Sydney Cricket Ground, Australia"
India,West Indies,"Wankhede Stadium, India"
India,Bangladesh,"National Stadium, Karachi, Pakistan"
India,Bangladesh,"Galle International Stadium, Sri Lanka"
India,Bangladesh,"Eden Park, New Zealand"
India,Bangladesh,"National Stadium, Karachi, Pakistan"
India,Bangladesh,"Sydney Cricket Ground, Australia"
India,Bangladesh,"Wankhede Stadium, India"
India,Bangladesh,"Gaddafi Stadium, Pakistan"
India,Bangladesh,"Alokozay Kabul International Cricket Ground, Afghanistan"
India,Bangladesh,"National Stadium, Karachi, Pakistan"
India,Bangladesh,"Wankhede Stadium, India"
India,Afghanistan,"Wanderers Stadium, South Africa"
India,Afghanistan,"Galle International Stadium, Sri Lanka"
India,Afghanistan,"National Stadium, Karachi, Pakistan"
India,Afghanistan,"Sydney Cricket Ground, Australia"
India,Afghanistan,"Sher-e-Bangla National Stadium, Bangladesh"
India,Afghanistan,"Melbourne Cricket Ground, Australia"
India,Afghanistan,"Wanderers Stadium, South Africa"
India,Afghanistan,"Eden Park, New Zealand"
India,Afghanistan,"Alokozay Kabul International Cricket Ground, Afghanistan"
India,Afghanistan,"Sher-e-Bangla National Stadium, Bangladesh"
England,South Africa,"Sydney Cricket Ground, Australia"
England,South Africa,"R. Premadasa Stadium, Sri Lanka"
England,South Africa,"Melbourne Cricket Ground, Australia"
England,South Africa,"Hagley Oval, New Zealand"
England,South Africa,"Eden Gardens, India"
England,South Africa,"Galle International Stadium, Sri Lanka"
England,South Africa,"Sher-e-Bangla National Stadium, Bangladesh"
England,South Africa,"Kensington Oval, Barbados, West Indies"
England,South Africa,"Alokozay Kabul International Cricket Ground, Afghanistan"
England,South Africa,"Melbourne Cricket Ground, Australia"
England,New Zealand,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
England,New Zealand,"Old Trafford, England"
England,New Zealand,"Sydney Cricket Ground, Australia"
England,New Zealand,"Lord's, England"
England,New Zealand,"R. Premadasa Stadium, Sri Lanka"
England,New Zealand,"R. Premadasa Stadium, Sri Lanka"
England,New Zealand,"Queen's Park Oval, Trinidad, West Indies"
England,New Zealand,"R. Premadasa Stadium, Sri Lanka"
England,New Zealand,"Wanderers Stadium, South Africa"
England,New Zealand,"Gaddafi Stadium, Pakistan"
England,Pakistan,"Wanderers Stadium, South Africa"
England,Pakistan,"Old Trafford, England"
England,Pakistan,"Sydney Cricket Ground, Australia"
England,Pakistan,"Alokozay Kabul International Cricket Ground, Afghanistan"
England,Pakistan,"Queen's Park Oval, Trinidad, West Indies"
England,Pakistan,"Kensington Oval, Barbados, West Indies"
England,Pakistan,"Eden Park, New Zealand"
England,Pakistan,"Sher-e-Bangla National Stadium, Bangladesh"
England,Pakistan,"Kensington Oval, Barbados, West Indies"
England,Pakistan,"Melbourne Cricket Ground, Australia"
England,Sri Lanka,"National Stadium, Karachi, Pakistan"
England,Sri Lanka,"Wanderers Stadium, South Africa"
England,Sri Lanka,"Sydney Cricket Ground, Australia"
England,Sri Lanka,"National Stadium, Karachi, Pakistan"
England,Sri Lanka,"Alokozay Kabul International Cricket Ground, Afghanistan"
England,Sri Lanka,"Queen's Park Oval, Trinidad, West Indies"
England,Sri Lanka,"Melbourne Cricket Ground, Australia"
England,Sri Lanka,"Alokozay Kabul International Cricket Ground, Afghanistan"
England,Sri Lanka,"Sydney Cricket Ground, Australia"
England,Sri Lanka,"Galle International Stadium, Sri Lanka"
England,West Indies,"Newlands, South Africa"
England,West Indies,"Alokozay Kabul International Cricket Ground, Afghanistan"
England,West Indies,"Kabul International Cricket Stadium, Afghanistan"
England,West Indies,"National Stadium, Karachi, Pakistan"
England,West Indies,"Sher-e-Bangla National Stadium, Bangladesh"
England,West Indies,"Galle International Stadium, Sri Lanka"
England,West Indies,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
England,West Indies,"Alokozay Kabul International Cricket Ground, Afghanistan"
England,West Indies,"Old Trafford, England"
England,West Indies,"Old Trafford, England"
England,Bangladesh,"Kabul International Cricket Stadium, Afghanistan"
England,Bangladesh,"Hagley Oval, New Zealand"
England,Bangladesh,"Hagley Oval, New Zealand"
England,Bangladesh,"R. Premadasa Stadium, Sri Lanka"
England,Bangladesh,"Kensington Oval, Barbados, West Indies"
England,Bangladesh,"Old Trafford, England"
England,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
England,Bangladesh,"Eden Park, New Zealand"
England,Bangladesh,"Wanderers Stadium, South Africa"
England,Bangladesh,"Wankhede Stadium, India"
England,Afghanistan,"Sher-e-Bangla National Stadium, Bangladesh"
England,Afghanistan,"Eden Gardens, India"
England,Afghanistan,"Wanderers Stadium, South Africa"
England,Afghanistan,"Old Trafford, England"
England,Afghanistan,"Old Trafford, England"
England,Afghanistan,"R. Premadasa Stadium, Sri Lanka"
England,Afghanistan,"Eden Gardens, India"
England,Afghanistan,"Alokozay Kabul International Cricket Ground, Afghanistan"
England,Afghanistan,"Galle International Stadium, Sri Lanka"
England,Afghanistan,"National Stadium, Karachi, Pakistan"
South Africa,New Zealand,"National Stadium, Karachi, Pakistan"
South Africa,New Zealand,"Old Trafford, England"
South Africa,New Zealand,"Old Trafford, England"
South Africa,New Zealand,"Old Trafford, England"
South Africa,New Zealand,"Melbourne Cricket Ground, Australia"
South Africa,New Zealand,"National Stadium, Karachi, Pakistan"
South Africa,New Zealand,"Old Trafford, England"
South Africa,New Zealand,"R. Premadasa Stadium, Sri Lanka"
South Africa,New Zealand,"Alokozay Kabul International Cricket Ground, Afghanistan"
South Africa,New Zealand,"Wankhede Stadium, India"
South Africa,Pakistan,"R. Premadasa Stadium, Sri Lanka"
South Africa,Pakistan,"Sydney Cricket Ground, Australia"
South Africa,Pakistan,"Wankhede Stadium, India"
South Africa,Pakistan,"Eden Gardens, India"
South Africa,Pakistan,"Sher-e-Bangla National Stadium, Bangladesh"
South Africa,Pakistan,"Galle International Stadium, Sri Lanka"
South Africa,Pakistan,"Hagley Oval, New Zealand"
South Africa,Pakistan,"Old Trafford, England"
South Africa,Pakistan,"Hagley Oval, New Zealand"
South Africa,Pakistan,"Eden Park, New Zealand"
South Africa,Sri Lanka,"National Stadium, Karachi, Pakistan"
South Africa,Sri Lanka,"Sher-e-Bangla National Stadium, Bangladesh"
South Africa,Sri Lanka,"Wanderers Stadium, South Africa"
South Africa,Sri Lanka,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
South Africa,Sri Lanka,"Sydney Cricket Ground, Australia"
South Africa,Sri Lanka,"Eden Gardens, India"
South Africa,Sri Lanka,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
South Africa,Sri Lanka,"Old Trafford, England"
South Africa,Sri Lanka,"Melbourne Cricket Ground, Australia"
South Africa,Sri Lanka,"Old Trafford, England"
South Africa,West Indies,"Newlands, South Africa"
South Africa,West Indies,"Alokozay Kabul International Cricket Ground, Afghanistan"
South Africa,West Indies,"Queen's Park Oval, Trinidad, West Indies"
South Africa,West Indies,"Galle International Stadium, Sri Lanka"
South Africa,West Indies,"Alokozay Kabul International Cricket Ground, Afghanistan"
South Africa,West Indies,"Old Trafford, England"
South Africa,West Indies,"Kensington Oval, Barbados, West Indies"
South Africa,West Indies,"Queen's Park Oval, Trinidad, West Indies"
South Africa,West Indies,"Wankhede Stadium, India"
South Africa,West Indies,"Sher-e-Bangla National Stadium, Bangladesh"
South Africa,Bangladesh,"Sher-e-Bangla National Stadium, Bangladesh"
South Africa,Bangladesh,"Old Trafford, England"
South Africa,Bangladesh,"Eden Gardens, India"
South Africa,Bangladesh,"Kabul International Cricket Stadium, Afghanistan"
South Africa,Bangladesh,"Alokozay Kabul International Cricket Ground, Afghanistan"
South Africa,Bangladesh,"Galle International Stadium, Sri Lanka"
South Africa,Bangladesh,"Melbourne Cricket Ground, Australia"
South Africa,Bangladesh,"Newlands, South Africa"
South Africa,Bangladesh,"Hagley Oval, New Zealand"
South Africa,Bangladesh,"Melbourne Cricket Ground, Australia"
South Africa,Afghanistan,"Kensington Oval, Barbados, West Indies"
South Africa,Afghanistan,"Old Trafford, England"
South Africa,Afghanistan,"Wanderers Stadium, South Africa"
South Africa,Afghanistan,"Kensington Oval, Barbados, West Indies"
South Africa,Afghanistan,"Melbourne Cricket Ground, Australia"
South Africa,Afghanistan,"Wanderers Stadium, South Africa"
South Africa,Afghanistan,"Galle International Stadium, Sri Lanka"
South Africa,Afghanistan,"Old Trafford, England"
South Africa,Afghanistan,"Wankhede Stadium, India"
South Africa,Afghanistan,"Sher-e-Bangla National Stadium, Bangladesh"
New Zealand,Pakistan,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
New Zealand,Pakistan,"Sydney Cricket Ground, Australia"
New Zealand,Pakistan,"National Stadium, Karachi, Pakistan"
New Zealand,Pakistan,"Hagley Oval, New Zealand"
New Zealand,Pakistan,"Old Trafford, England"
New Zealand,Pakistan,"National Stadium, Karachi, Pakistan"
New Zealand,Pakistan,"R. Premadasa Stadium, Sri Lanka"
New Zealand,Pakistan,"Newlands, South Africa"
New Zealand,Pakistan,"Eden Gardens, India"
New Zealand,Pakistan,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
New Zealand,Sri Lanka,"Melbourne Cricket Ground, Australia"
New Zealand,Sri Lanka,"Melbourne Cricket Ground, Australia"
New Zealand,Sri Lanka,"R. Premadasa Stadium, Sri Lanka"
New Zealand,Sri Lanka,"Sher-e-Bangla National Stadium, Bangladesh"
New Zealand,Sri Lanka,"National Stadium, Karachi, Pakistan"
New Zealand,Sri Lanka,"Wanderers Stadium, South Africa"
New Zealand,Sri Lanka,"Old Trafford, England"
New Zealand,Sri Lanka,"Eden Park, New Zealand"
New Zealand,Sri Lanka,"National Stadium, Karachi, Pakistan"
New Zealand,Sri Lanka,"Newlands, South Africa"
New Zealand,West Indies,"Eden Park, New Zealand"
New Zealand,West Indies,"Lord's, England"
New Zealand,West Indies,"Melbourne Cricket Ground, Australia"
New Zealand,West Indies,"Wankhede Stadium, India"
New Zealand,West Indies,"Melbourne Cricket Ground, Australia"
New Zealand,West Indies,"Kensington Oval, Barbados, West Indies"
New Zealand,West Indies,"Gaddafi Stadium, Pakistan"
New Zealand,West Indies,"Eden Park, New Zealand"
New Zealand,West Indies,"Galle International Stadium, Sri Lanka"
New Zealand,West Indies,"Queen's Park Oval, Trinidad, West Indies"
New Zealand,Bangladesh,"Newlands, South Africa"
New Zealand,Bangladesh,"Wankhede Stadium, India"
New Zealand,Bangladesh,"Sydney Cricket Ground, Australia"
New Zealand,Bangladesh,"Alokozay Kabul International Cricket Ground, Afghanistan"
New Zealand,Bangladesh,"Wanderers Stadium, South Africa"
New Zealand,Bangladesh,"Kensington Oval, Barbados, West Indies"
New Zealand,Bangladesh,"Melbourne Cricket Ground, Australia"
New Zealand,Bangladesh,"Kabul International Cricket Stadium, Afghanistan"
New Zealand,Bangladesh,"Melbourne Cricket Ground, Australia"
New Zealand,Bangladesh,"Eden Park, New Zealand"
New Zealand,Afghanistan,"Lord's, England"
New Zealand,Afghanistan,"Lord's, England"
New Zealand,Afghanistan,"Hagley Oval, New Zealand"
New Zealand,Afghanistan,"Galle International Stadium, Sri Lanka"
New Zealand,Afghanistan,"Queen's Park Oval, Trinidad, West Indies"
New Zealand,Afghanistan,"Alokozay Kabul International Cricket Ground, Afghanistan"
New Zealand,Afghanistan,"National Stadium, Karachi, Pakistan"
New Zealand,Afghanistan,"R. Premadasa Stadium, Sri Lanka"
New Zealand,Afghanistan,"Lord's, England"
New Zealand,Afghanistan,"Eden Gardens, India"
Pakistan,Sri Lanka,"Queen's Park Oval, Trinidad, West Indies"
Pakistan,Sri Lanka,"Alokozay Kabul International Cricket Ground, Afghanistan"
Pakistan,Sri Lanka,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
Pakistan,Sri Lanka,"Wankhede Stadium, India"
Pakistan,Sri Lanka,"Melbourne Cricket Ground, Australia"
Pakistan,Sri Lanka,"Melbourne Cricket Ground, Australia"
Pakistan,Sri Lanka,"Queen's Park Oval, Trinidad, West Indies"
Pakistan,Sri Lanka,"Gaddafi Stadium, Pakistan"
Pakistan,Sri Lanka,"Galle International Stadium, Sri Lanka"
Pakistan,Sri Lanka,"R. Premadasa Stadium, Sri Lanka"
Pakistan,West Indies,"Wanderers Stadium, South Africa"
Pakistan,West Indies,"Eden Gardens, India"
Pakistan,West Indies,"Wankhede Stadium, India"
Pakistan,West Indies,"Queen's Park Oval, Trinidad, West Indies"
Pakistan,West Indies,"Eden Park, New Zealand"
Pakistan,West Indies,"Eden Gardens, India"
Pakistan,West Indies,"Queen's Park Oval, Trinidad, West Indies"
Pakistan,West Indies,"Sydney Cricket Ground, Australia"
Pakistan,West Indies,"Lord's, England"
Pakistan,West Indies,"Lord's, England"
Pakistan,Bangladesh,"Galle International Stadium, Sri Lanka"
Pakistan,Bangladesh,"Gaddafi Stadium, Pakistan"
Pakistan,Bangladesh,"Sher-e-Bangla National Stadium, Bangladesh"
Pakistan,Bangladesh,"Galle International Stadium, Sri Lanka"
Pakistan,Bangladesh,"Lord's, England"
Pakistan,Bangladesh,"Wanderers Stadium, South Africa"
Pakistan,Bangladesh,"Queen's Park Oval, Trinidad, West Indies"
Pakistan,Bangladesh,"Eden Park, New Zealand"
Pakistan,Bangladesh,"Gaddafi Stadium, Pakistan"
Pakistan,Bangladesh,"Eden Park, New Zealand"
Pakistan,Afghanistan,"Newlands, South Africa"
Pakistan,Afghanistan,"Melbourne Cricket Ground, Australia"
Pakistan,Afghanistan,"Melbourne Cricket Ground, Australia"
Pakistan,Afghanistan,"Gaddafi Stadium, Pakistan"
Pakistan,Afghanistan,"Queen's Park Oval, Trinidad, West Indies"
Pakistan,Afghanistan,"Queen's Park Oval, Trinidad, West Indies"
Pakistan,Afghanistan,"Lord's, England"
Pakistan,Afghanistan,"Newlands, South Africa"
Pakistan,Afghanistan,"Gaddafi Stadium, Pakistan"
Pakistan,Afghanistan,"R. Premadasa Stadium, Sri Lanka"
Sri Lanka,West Indies,"Sher-e-Bangla National Stadium, Bangladesh"
Sri Lanka,West Indies,"Old Trafford, England"
Sri Lanka,West Indies,"National Stadium, Karachi, Pakistan"
Sri Lanka,West Indies,"Eden Park, New Zealand"
Sri Lanka,West Indies,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
Sri Lanka,West Indies,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
Sri Lanka,West Indies,"Hagley Oval, New Zealand"
Sri Lanka,West Indies,"R. Premadasa Stadium, Sri Lanka"
Sri Lanka,West Indies,"Lord's, England"
Sri Lanka,West Indies,"Queen's Park Oval, Trinidad, West Indies"
Sri Lanka,Bangladesh,"Wankhede Stadium, India"
Sri Lanka,Bangladesh,"Eden Park, New Zealand"
Sri Lanka,Bangladesh,"Gaddafi Stadium, Pakistan"
Sri Lanka,Bangladesh,"Hagley Oval, New Zealand"
Sri Lanka,Bangladesh,"Kabul International Cricket Stadium, Afghanistan"
Sri Lanka,Bangladesh,"Queen's Park Oval, Trinidad, West Indies"
Sri Lanka,Bangladesh,"Newlands, South Africa"
Sri Lanka,Bangladesh,"Eden Park, New Zealand"
Sri Lanka,Bangladesh,"Queen's Park Oval, Trinidad, West Indies"
Sri Lanka,Bangladesh,"Eden Gardens, India"
Sri Lanka,Afghanistan,"Queen's Park Oval, Trinidad, West Indies"
Sri Lanka,Afghanistan,"Kabul International Cricket Stadium, Afghanistan"
Sri Lanka,Afghanistan,"Sher-e-Bangla National Stadium, Bangladesh"
Sri Lanka,Afghanistan,"Wankhede Stadium, India"
Sri Lanka,Afghanistan,"Galle International Stadium, Sri Lanka"
Sri Lanka,Afghanistan,"Kabul International Cricket Stadium, Afghanistan"
Sri Lanka,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
Sri Lanka,Afghanistan,"Melbourne Cricket Ground, Australia"
Sri Lanka,Afghanistan,"Galle International Stadium, Sri Lanka"
Sri Lanka,Afghanistan,"Lord's, England"
West Indies,Bangladesh,"Sher-e-Bangla National Stadium, Bangladesh"
West Indies,Bangladesh,"Gaddafi Stadium, Pakistan"
West Indies,Bangladesh,"Melbourne Cricket Ground, Australia"
West Indies,Bangladesh,"Eden Gardens, India"
West Indies,Bangladesh,"Eden Park, New Zealand"
West Indies,Bangladesh,"Galle International Stadium, Sri Lanka"
West Indies,Bangladesh,"National Stadium, Karachi, Pakistan"
West Indies,Bangladesh,"Newlands, South Africa"
West Indies,Bangladesh,"Wankhede Stadium, India"
West Indies,Bangladesh,"Newlands, South Africa"
West Indies,Afghanistan,"Newlands, South Africa"
West Indies,Afghanistan,"Melbourne Cricket Ground, Australia"
West Indies,Afghanistan,"Queen's Park Oval, Trinidad, West Indies"
West Indies,Afghanistan,"Wankhede Stadium, India"
West Indies,Afghanistan,"Eden Park, New Zealand"
West Indies,Afghanistan,"Eden Gardens, India"
West Indies,Afghanistan,"R. Premadasa Stadium, Sri Lanka"
West Indies,Afghanistan,"Eden Gardens, India"
West Indies,Afghanistan,"Kensington Oval, Barbados, West Indies"
West Indies,Afghanistan,"Kensington Oval, Barbados, West Indies"
Bangladesh,Afghanistan,"Newlands, South Africa"
Bangladesh,Afghanistan,"Lord's, England"
Bangladesh,Afghanistan,"Alokozay Kabul International Cricket Ground, Afghanistan"
Bangladesh,Afghanistan,"Gaddafi Stadium, Pakistan"
Bangladesh,Afghanistan,"Sher-e-Bangla National Stadium, Bangladesh"
Bangladesh,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
Bangladesh,Afghanistan,"R. Premadasa Stadium, Sri Lanka"
Bangladesh,Afghanistan,"Newlands, South Africa"
Bangladesh,Afghanistan,"Kabul International Cricket Stadium, Afghanistan"
Bangladesh,Afghanistan,"National Stadium, Karachi, Pakistan"
