Team 1,Team 2,Venue,Winner,Man of the Match,Toss Winner
United Arab Emirates,Afghanistan,"Rajiv Gandhi International Cricket Stadium, India",United Arab Emirates,Muhammad Usman,Afghanistan
Namibia,England,"Vidarbha Cricket Association Stadium, India",Namibia,David Wiese,England
England,Hong Kong,"Old Trafford, England",England,Jofra Archer,Hong Kong
United Arab Emirates,Hong Kong,"Vidarbha Cricket Association Stadium, India",United Arab Emirates,Ahmed Raza,Hong Kong
United Arab Emirates,Sri Lanka,"Browne Park, Montserrat, West Indies",Sri Lanka,Kusal Perera,Sri Lanka
Afghanistan,Sri Lanka,"Dharamsala Cricket Stadium, India",Afghanistan,Hazratullah Zazai,Sri Lanka
Oman,Namibia,"Wanderers Stadium, South Africa",Oman,Khawar Ali,Namibia
Zimbabwe,Scotland,"Kochi Cricket Stadium, India",Scotland,Mark Watt,Zimbabwe
Scotland,Pakistan,"Guwahati Cricket Stadium, India",Pakistan,Shadab Khan,Scotland
Afghanistan,South Africa,"Seddon Park, New Zealand",Afghanistan,Hazratullah Zazai,Afghanistan
Ireland,Sri Lanka,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Sri Lanka,Kusal Perera,Ireland
Australia,Hong Kong,"Kabul International Cricket Stadium, Afghanistan",Hong Kong,Aizaz Khan,Hong Kong
Namibia,Oman,"Sharjah Cricket Stadium, UAE",Namibia,Gerhard Erasmus,Namibia
Oman,New Zealand,"Raipur International Cricket Stadium, India",Oman,Bilal Khan,Oman
New Zealand,Namibia,"Kensington Oval, Barbados, West Indies",Namibia,David Wiese,Namibia
Oman,United Arab Emirates,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",United Arab Emirates,Waheed Ahmed,United Arab Emirates
Netherlands,India,"National Stadium, Karachi, Pakistan",Netherlands,Pieter Seelaar,India
India,South Africa,"Surat Cricket Stadium, India",South Africa,Quinton de Kock,South Africa
Scotland,Hong Kong,"Arun Jaitley Stadium, India",Hong Kong,Ehsan Khan,Hong Kong
Netherlands,Australia,"Hagley Oval, New Zealand",Netherlands,Ben Cooper,Netherlands
Pakistan,India,"Kensington Oval, Barbados, West Indies",India,Jasprit Bumrah,India
New Zealand,Oman,"Perth Stadium, Australia",New Zealand,Trent Boult,New Zealand
Zimbabwe,Nepal,"Wanderers Stadium, South Africa",Zimbabwe,Sikandar Raza,Zimbabwe
Zimbabwe,Nepal,"The Grange Club, Scotland",Nepal,Karan KC,Zimbabwe
Ireland,Zimbabwe,"Browne Park, Montserrat, West Indies",Ireland,Andrew Balbirnie,Ireland
Pakistan,Zimbabwe,"Sher-e-Bangla National Stadium, Bangladesh",Zimbabwe,Brendan Taylor,Zimbabwe
Namibia,New Zealand,"Punjab Cricket Association IS Bindra Stadium, India",New Zealand,Kyle Jamieson,New Zealand
India,Bangladesh,"Amini Park, Papua New Guinea",India,Virat Kohli,Bangladesh
Nepal,Zimbabwe,"Perth Stadium, Australia",Nepal,Paras Khadka,Nepal
Hong Kong,Nepal,"R. Premadasa Stadium, Sri Lanka",Nepal,Sandeep Lamichhane,Nepal
South Africa,Ireland,"Malahide Cricket Club Ground, Ireland",Ireland,Andrew Balbirnie,South Africa
Sri Lanka,Namibia,"Malahide Cricket Club Ground, Ireland",Sri Lanka,Angelo Mathews,Sri Lanka
Nepal,Zimbabwe,"Chinnaswamy Stadium, India",Nepal,Karan KC,Zimbabwe
Pakistan,Netherlands,"Gaddafi Stadium, Pakistan",Netherlands,Max O'Dowd,Netherlands
Zimbabwe,Afghanistan,"Old Trafford, England",Zimbabwe,Brendan Taylor,Afghanistan
Oman,India,"Sher-e-Bangla National Stadium, Bangladesh",Oman,Jatinder Singh,Oman
Hong Kong,United Arab Emirates,"Sydney Cricket Ground, Australia",Hong Kong,Babar Hayat,Hong Kong
South Africa,Hong Kong,"Jaipur Cricket Stadium, India",South Africa,Kagiso Rabada,South Africa
Ireland,Pakistan,"Saurashtra Cricket Association Stadium, India",Ireland,Harry Tector,Pakistan
Australia,United Arab Emirates,"Kochi Cricket Stadium, India",United Arab Emirates,Waheed Ahmed,Australia
Ireland,India,"Barsapara Stadium, India",India,Rohit Sharma,Ireland
Zimbabwe,India,"Holkar Stadium, India",Zimbabwe,Brendan Taylor,Zimbabwe
England,Ireland,"Holkar Stadium, India",England,Ben Stokes,England
Scotland,Zimbabwe,"Tribhuvan University International Cricket Ground, Nepal",Zimbabwe,Sean Williams,Scotland
Hong Kong,India,"Newlands, South Africa",India,Jasprit Bumrah,India
Oman,Pakistan,"Pune Cricket Stadium, India",Oman,Jatinder Singh,Oman
Nepal,South Africa,"Ranchi Cricket Stadium, India",Nepal,Paras Khadka,Nepal
Papua New Guinea,Zimbabwe,"Maharashtra Cricket Association Stadium, India",Papua New Guinea,Charles Amini,Papua New Guinea
New Zealand,Namibia,"Guwahati Cricket Stadium, India",New Zealand,Tom Latham,New Zealand
Pakistan,Papua New Guinea,"Kochi Cricket Stadium, India",Pakistan,Shadab Khan,Papua New Guinea
Zimbabwe,Pakistan,"Kabul International Cricket Stadium, Afghanistan",Pakistan,Shadab Khan,Zimbabwe
Hong Kong,Oman,"Chinnaswamy Stadium, India",Oman,Khawar Ali,Hong Kong
England,Netherlands,"Sher-e-Bangla National Stadium, Bangladesh",Netherlands,Bas de Leede,England
United Arab Emirates,Nepal,"Kensington Oval, Barbados, West Indies",United Arab Emirates,Waheed Ahmed,United Arab Emirates
West Indies,Scotland,"Guwahati Cricket Stadium, India",Scotland,Mark Watt,Scotland
Oman,Papua New Guinea,"Wanderers Cricket Ground, Namibia",Oman,Aqib Ilyas,Papua New Guinea
New Zealand,Bangladesh,"Thiruvananthapuram Cricket Stadium, India",Bangladesh,Tamim Iqbal,Bangladesh
Namibia,Bangladesh,"Sabina Park, Jamaica, West Indies",Bangladesh,Tamim Iqbal,Bangladesh
Nepal,Ireland,"Warner Park, St Kitts, West Indies",Ireland,Paul Stirling,Ireland
Scotland,Oman,"Surat Cricket Stadium, India",Oman,Khawar Ali,Scotland
Papua New Guinea,New Zealand,"Rajkot Cricket Stadium, India",Papua New Guinea,Tony Ura,New Zealand
Oman,Sri Lanka,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Oman,Aqib Ilyas,Sri Lanka
Afghanistan,Zimbabwe,"Bellerive Oval, Australia",Afghanistan,Rahmanullah Gurbaz,Zimbabwe
Pakistan,Scotland,"Melbourne Cricket Ground, Australia",Scotland,Richie Berrington,Scotland
Afghanistan,South Africa,"Sydney Cricket Ground, Australia",Afghanistan,Rashid Khan,South Africa
Zimbabwe,United Arab Emirates,"Queen's Park Oval, Trinidad, West Indies",United Arab Emirates,Muhammad Usman,United Arab Emirates
Netherlands,United Arab Emirates,"Wanderers Cricket Ground, Namibia",United Arab Emirates,Rohan Mustafa,United Arab Emirates
England,New Zealand,"Himachal Pradesh Cricket Association Stadium, India",England,Jason Roy,England
Australia,Oman,"Bay Oval, New Zealand",Oman,Jatinder Singh,Australia
Hong Kong,United Arab Emirates,"Kensington Oval, Barbados, West Indies",Hong Kong,Nizakat Khan,Hong Kong
Ireland,West Indies,"Mission Road Ground, Hong Kong",Ireland,Josh Little,Ireland
Namibia,Australia,"Surat Cricket Stadium, India",Namibia,Craig Williams,Australia
New Zealand,Papua New Guinea,"Malahide Cricket Club Ground, Ireland",New Zealand,Trent Boult,Papua New Guinea
Bangladesh,Papua New Guinea,"National Stadium, Karachi, Pakistan",Papua New Guinea,Nosaina Pokana,Bangladesh
Zimbabwe,Afghanistan,"Pune Cricket Stadium, India",Afghanistan,Mujeeb Ur Rahman,Zimbabwe
Sri Lanka,Hong Kong,"Harare Sports Club, Zimbabwe",Hong Kong,Aizaz Khan,Hong Kong
India,Pakistan,"Tribhuvan University International Cricket Ground, Nepal",India,Jasprit Bumrah,Pakistan
Hong Kong,Zimbabwe,"Alokozay Kabul International Cricket Ground, Afghanistan",Zimbabwe,Blessing Muzarabani,Hong Kong
New Zealand,Scotland,"VRA Cricket Ground, Netherlands",New Zealand,Trent Boult,Scotland
South Africa,Pakistan,"Warner Park, St Kitts, West Indies",Pakistan,Shadab Khan,Pakistan
New Zealand,Namibia,"Queen's Park Oval, Trinidad, West Indies",Namibia,JJ Smit,New Zealand
India,Scotland,"Zahur Ahmed Chowdhury Stadium, Bangladesh",India,Jasprit Bumrah,Scotland
Hong Kong,Netherlands,"Jaipur Cricket Stadium, India",Hong Kong,Babar Hayat,Netherlands
South Africa,India,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",South Africa,Quinton de Kock,South Africa
New Zealand,Afghanistan,"Al Amerat Cricket Ground, Oman",New Zealand,Trent Boult,Afghanistan
Zimbabwe,Netherlands,"Galle International Stadium, Sri Lanka",Netherlands,Max O'Dowd,Zimbabwe
Netherlands,Australia,"Patna Cricket Stadium, India",Australia,Mitchell Starc,Australia
Namibia,Papua New Guinea,"Vidarbha Cricket Association Stadium, India",Papua New Guinea,Nosaina Pokana,Namibia
South Africa,Zimbabwe,"Vidarbha Cricket Association Stadium, India",South Africa,Faf du Plessis,Zimbabwe
India,United Arab Emirates,"The Grange Club, Scotland",India,Rohit Sharma,India
Namibia,Scotland,"Maharashtra Cricket Association Stadium, India",Scotland,George Munsey,Namibia
England,Netherlands,"Eden Gardens, India",England,Jofra Archer,England
Oman,United Arab Emirates,"Lucknow Cricket Stadium, India",United Arab Emirates,Chirag Suri,Oman
Pakistan,Hong Kong,"Kabul International Cricket Stadium, Afghanistan",Hong Kong,Kinchit Shah,Pakistan
England,South Africa,"Barsapara Stadium, India",South Africa,David Miller,South Africa
Papua New Guinea,Zimbabwe,"Al Amerat Cricket Ground, Oman",Papua New Guinea,Assad Vala,Papua New Guinea
Hong Kong,Scotland,"Surat Cricket Stadium, India",Hong Kong,Aizaz Khan,Hong Kong
New Zealand,Bangladesh,"Sabina Park, Jamaica, West Indies",Bangladesh,Mahmudullah,Bangladesh
Netherlands,United Arab Emirates,"Mission Road Ground, Hong Kong",United Arab Emirates,Chirag Suri,United Arab Emirates
Namibia,Ireland,"Thiruvananthapuram Cricket Stadium, India",Ireland,Josh Little,Ireland
Nepal,Pakistan,"Bay Oval, New Zealand",Pakistan,Shaheen Afridi,Pakistan
West Indies,Australia,"Indore Cricket Stadium, India",West Indies,Jason Holder,Australia
Nepal,Zimbabwe,"Ranchi Cricket Stadium, India",Zimbabwe,Sean Williams,Nepal
Namibia,Bangladesh,"Eden Gardens, India",Bangladesh,Shakib Al Hasan,Bangladesh
Nepal,Oman,"Queen's Sports Club, Zimbabwe",Oman,Bilal Khan,Oman
Hong Kong,Namibia,"Galle International Stadium, Sri Lanka",Hong Kong,Babar Hayat,Hong Kong
Oman,New Zealand,"Kanpur Cricket Stadium, India",New Zealand,Trent Boult,New Zealand
Bangladesh,South Africa,"Browne Park, Montserrat, West Indies",Bangladesh,Mahmudullah,South Africa
Pakistan,Oman,"Sydney Cricket Ground, Australia",Pakistan,Shadab Khan,Oman
Netherlands,South Africa,"Maharashtra Cricket Association Stadium, India",South Africa,Faf du Plessis,South Africa
Nepal,Ireland,"Queen's Sports Club, Zimbabwe",Ireland,Harry Tector,Ireland
South Africa,Australia,"Lord's, England",South Africa,Faf du Plessis,South Africa
Ireland,Netherlands,"Wanderers Cricket Ground, Namibia",Netherlands,Ben Cooper,Ireland
Oman,Hong Kong,"Dharamsala Cricket Stadium, India",Oman,Jatinder Singh,Hong Kong
Pakistan,Nepal,"Kensington Oval, Barbados, West Indies",Pakistan,Shadab Khan,Nepal
West Indies,Ireland,"Punjab Cricket Association IS Bindra Stadium, India",Ireland,Paul Stirling,West Indies
Nepal,Namibia,"Queen's Park Oval, Trinidad, West Indies",Nepal,Sandeep Lamichhane,Nepal
Afghanistan,Scotland,"Lucknow Cricket Stadium, India",Scotland,Mark Watt,Afghanistan
New Zealand,Papua New Guinea,"Eden Gardens, India",Papua New Guinea,Charles Amini,New Zealand
Namibia,Scotland,"Bellerive Oval, Australia",Scotland,Kyle Coetzer,Namibia
Nepal,India,"Chinnaswamy Stadium, India",India,Rohit Sharma,Nepal
South Africa,Scotland,"R. Premadasa Stadium, Sri Lanka",South Africa,Anrich Nortje,South Africa
West Indies,Sri Lanka,"Pune Cricket Stadium, India",West Indies,Nicholas Pooran,West Indies
United Arab Emirates,Sri Lanka,"Galle International Stadium, Sri Lanka",United Arab Emirates,Chirag Suri,Sri Lanka
Sri Lanka,South Africa,"Eden Gardens, India",South Africa,David Miller,Sri Lanka
Sri Lanka,Nepal,"Cuttack Cricket Stadium, India",Nepal,Karan KC,Nepal
Australia,Namibia,"Al Amerat Cricket Ground, Oman",Namibia,Gerhard Erasmus,Namibia
England,Australia,"Himachal Pradesh Cricket Association Stadium, India",England,Jofra Archer,England
United Arab Emirates,India,"Raipur International Cricket Stadium, India",United Arab Emirates,Muhammad Usman,United Arab Emirates
United Arab Emirates,India,"Sharjah Cricket Stadium, UAE",India,Rohit Sharma,United Arab Emirates
Bangladesh,Sri Lanka,"Chinnaswamy Stadium, India",Sri Lanka,Dinesh Chandimal,Bangladesh
Pakistan,Afghanistan,"Kabul International Cricket Stadium, Afghanistan",Pakistan,Haris Rauf,Afghanistan
England,Hong Kong,"Wanderers Stadium, South Africa",England,Jason Roy,England
Oman,South Africa,"Kabul International Cricket Stadium, Afghanistan",South Africa,Faf du Plessis,Oman
England,Netherlands,"Al Amerat Cricket Ground, Oman",Netherlands,Max O'Dowd,England
Pakistan,Hong Kong,"Wanderers Stadium, South Africa",Pakistan,Shaheen Afridi,Pakistan
Netherlands,Nepal,"Providence Stadium, Guyana, West Indies",Nepal,Gyanendra Malla,Netherlands
Sri Lanka,Netherlands,"Kanpur Cricket Stadium, India",Netherlands,Ben Cooper,Sri Lanka
New Zealand,Pakistan,"Eden Gardens, India",Pakistan,Shadab Khan,New Zealand
Bangladesh,Hong Kong,"Lord's, England",Bangladesh,Mahmudullah,Bangladesh
England,New Zealand,"Sheikh Zayed Stadium, UAE",New Zealand,Trent Boult,New Zealand
South Africa,West Indies,"Eden Gardens, India",South Africa,Anrich Nortje,South Africa
Nepal,Bangladesh,"Queen's Sports Club, Zimbabwe",Bangladesh,Shakib Al Hasan,Nepal
Australia,Afghanistan,"Hyderabad Cricket Stadium, India",Australia,David Warner,Afghanistan
Ireland,India,"Guwahati Cricket Stadium, India",India,Virat Kohli,India
Pakistan,Papua New Guinea,"Ranchi Cricket Stadium, India",Papua New Guinea,Lega Siaka,Pakistan
West Indies,Scotland,"Nagpur Cricket Stadium, India",Scotland,Safyaan Sharif,West Indies
Ireland,Australia,"Gaddafi Stadium, Pakistan",Ireland,Kevin O'Brien,Ireland
Netherlands,Oman,"Nagpur Cricket Stadium, India",Netherlands,Fred Klaassen,Oman
Papua New Guinea,Bangladesh,"Motera Stadium, India",Papua New Guinea,Charles Amini,Papua New Guinea
Netherlands,Pakistan,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Pakistan,Shaheen Afridi,Pakistan
Scotland,India,"Saurashtra Cricket Association Stadium, India",India,Rishabh Pant,Scotland
Oman,West Indies,"Al Amerat Cricket Ground, Oman",West Indies,Andre Russell,West Indies
New Zealand,Bangladesh,"Dehradun Cricket Stadium, India",New Zealand,Tom Latham,New Zealand
Afghanistan,Hong Kong,"National Stadium, Karachi, Pakistan",Afghanistan,Rahmanullah Gurbaz,Hong Kong
Australia,New Zealand,"Warner Park, St Kitts, West Indies",Australia,Glenn Maxwell,New Zealand
Pakistan,Papua New Guinea,"Amini Park, Papua New Guinea",Papua New Guinea,Nosaina Pokana,Pakistan
Afghanistan,England,"Cuttack Cricket Stadium, India",England,Ben Stokes,England
Zimbabwe,Scotland,"Dharamsala Cricket Stadium, India",Zimbabwe,Sean Williams,Scotland
Pakistan,India,"Punjab Cricket Association IS Bindra Stadium, India",Pakistan,Shaheen Afridi,Pakistan
Scotland,Ireland,"Indore Cricket Stadium, India",Scotland,George Munsey,Ireland
South Africa,Bangladesh,"Ranchi Cricket Stadium, India",South Africa,Kagiso Rabada,South Africa
India,Netherlands,"Rajkot Cricket Stadium, India",Netherlands,Max O'Dowd,India
England,Nepal,"Kensington Oval, Barbados, West Indies",Nepal,Dipendra Singh Airee,Nepal
Sri Lanka,Netherlands,"Bellerive Oval, Australia",Netherlands,Bas de Leede,Sri Lanka
Zimbabwe,Namibia,"Mission Road Ground, Hong Kong",Zimbabwe,Sikandar Raza,Namibia
Pakistan,New Zealand,"Jharkhand State Cricket Association Stadium, India",Pakistan,Haris Rauf,New Zealand
United Arab Emirates,Hong Kong,"Vizag Cricket Stadium, India",Hong Kong,Aizaz Khan,United Arab Emirates
Oman,Sri Lanka,"Patna Cricket Stadium, India",Sri Lanka,Wanindu Hasaranga,Oman
Pakistan,Papua New Guinea,"Nagpur Cricket Stadium, India",Pakistan,Haris Rauf,Pakistan
India,Nepal,"Indore Cricket Stadium, India",Nepal,Gyanendra Malla,India
Ireland,South Africa,"Kanpur Cricket Stadium, India",Ireland,Paul Stirling,Ireland
Namibia,New Zealand,"Sheikh Zayed Stadium, UAE",New Zealand,Kyle Jamieson,New Zealand
United Arab Emirates,Bangladesh,"Seddon Park, New Zealand",Bangladesh,Mushfiqur Rahim,United Arab Emirates
Papua New Guinea,Zimbabwe,"Warner Park, St Kitts, West Indies",Zimbabwe,Sikandar Raza,Papua New Guinea
Netherlands,South Africa,"Kochi Cricket Stadium, India",South Africa,David Miller,Netherlands
Scotland,Australia,"Bellerive Oval, Australia",Scotland,Kyle Coetzer,Australia
Sri Lanka,South Africa,"Lucknow Cricket Stadium, India",South Africa,Quinton de Kock,South Africa
Papua New Guinea,Hong Kong,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Hong Kong,Ehsan Khan,Papua New Guinea
South Africa,Ireland,"Motera Stadium, India",South Africa,Anrich Nortje,South Africa
United Arab Emirates,Netherlands,"The Grange Club, Scotland",Netherlands,Ben Cooper,United Arab Emirates
Sri Lanka,Netherlands,"Mission Road Ground, Hong Kong",Netherlands,Fred Klaassen,Netherlands
Oman,South Africa,"Perth Stadium, Australia",South Africa,Kagiso Rabada,South Africa
South Africa,West Indies,"Wanderers Stadium, South Africa",West Indies,Kieron Pollard,West Indies
Netherlands,India,"Sharjah Cricket Stadium, UAE",India,Virat Kohli,Netherlands
United Arab Emirates,Zimbabwe,"Feroz Shah Kotla Ground, India",Zimbabwe,Brendan Taylor,Zimbabwe
England,Zimbabwe,"Wanderers Cricket Ground, Namibia",Zimbabwe,Craig Ervine,England
Zimbabwe,Scotland,"Bay Oval, New Zealand",Zimbabwe,Brendan Taylor,Zimbabwe
Namibia,West Indies,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",West Indies,Kieron Pollard,Namibia
Namibia,New Zealand,"Dehradun Cricket Stadium, India",New Zealand,Kane Williamson,Namibia
Bangladesh,Pakistan,"Wanderers Cricket Ground, Namibia",Bangladesh,Mahmudullah,Bangladesh
Afghanistan,Hong Kong,"Jharkhand State Cricket Association Stadium, India",Afghanistan,Rahmanullah Gurbaz,Afghanistan
